baseline,ssdThroughput,addedLatency
1258.3138345355376,8317.855696256265,0ms
1258.3138345355376,6509.915254703093,0.5ms
1258.3138345355376,4830.022048756241,1.0ms
1258.3138345355376,3764.9749262737564,1.5ms
1258.3138345355376,3064.281942213753,2.0ms
1258.3138345355376,2612.283945392266,2.5ms
1258.3138345355376,2254.733917911902,3.0ms
1258.3138345355376,2015.962997705431,3.5ms
1258.3138345355376,1835.7422608874324,4.0ms
1258.3138345355376,1673.3590561013782,4.5ms
1258.3138345355376,1543.6059357025736,5.0ms
1258.3138345355376,1425.192930246548,5.5ms
1258.3138345355376,1326.7767837345034,6.0ms
1258.3138345355376,1248.3989557405805,6.5ms
1258.3138345355376,1175.0354024437408,7.0ms
1258.3138345355376,1114.374281733874,7.5ms
